1,"BR12346103","P","Brake Shoe","Pcs","",10,27500,0,"tes","brain","brain",2006-05-02 10:33:34.677000000,2006-06-19 10:18:15,"",,
2,"L00001","L","Mesran","Kaleng","",15,26500,0,"tes oli","brain","brain",2006-05-02 10:59:22.800000000,2006-06-25 17:32:35,"",,
5,"12454121","P","Cakram 2","PCS","",10,0,0,"","brain","",2006-06-23 14:47:36.523000000,2006-06-23 15:53:36,"",,
6,"GRET14505121","P","Busi","PCS","",15,0,0,"","brain","",2006-06-23 15:25:36.553000000,,"",,
7,"01421-06307-000","P","R Bolt,Stud","","",0,6800,0,"","Heri","",2006-06-25 22:10:11.747000000,2006-08-13 00:00:00,"",,
8,"01500-06123-000","P","BOLT","PCS","",1,5000,0,"","HERI","",2006-06-27 17:03:28.983000000,2006-08-13 00:00:00,"",,
9,"01500-06253-000","P","BOLT","PCS","",1,5000,0,"","HERI","",2006-06-27 17:04:00.350000000,2006-08-13 00:00:00,"",,
10,"01500-10163-000","P","BOLT","PCS","",1,6300,0,"","HERI","",2006-06-27 17:04:22.883000000,2006-08-13 00:00:00,"",,
11,"01547-06163-000","P","BOLT","PCS","",1,2200,0,"","HERI","",2006-06-27 17:04:51.653000000,2006-08-13 00:00:00,"",,
12,"01547-06163-000","P","Bolt, Oil Filter Cap","Pcs","",1,2200,0,"","heri","",2006-06-27 20:00:58.607000000,2006-08-13 00:00:00,"",,
13,"01547-06165-000","P","Bolt 6X16","Pcs","",1,4700,0,"","heri","",2006-06-27 20:02:44.840000000,2006-08-13 00:00:00,"",,
14,"01547-06203-000","P","Bolt Special","Pcs","",1,4600,0,"","heri","",2006-06-27 20:03:44.797000000,2006-08-13 00:00:00,"",,
15,"01547-06253-000","P","Bolt","Pcs","",1,4900,0,"","heri","",2006-06-27 20:04:18.807000000,2006-08-13 00:00:00,"",,
16,"01547-06303-000","P","Bolt","Pcs","",1,6100,0,"","heri","",2006-06-27 20:05:04.923000000,2006-08-13 00:00:00,"",,
17,"01550-06103-000","P","Bolt","Pcs","",1,5300,0,"","heri","",2006-06-27 20:05:37.550000000,2006-08-13 00:00:00,"",,
18,"01550-06253-000","P","Bolt","Pcs","",1,5300,0,"","heri","",2006-06-27 20:06:09.927000000,2006-08-13 00:00:00,"",,
19,"01550-08123-000","P","Bolt","Pcs","",1,6400,0,"","heri","",2006-06-27 20:06:54.900000000,2006-08-13 00:00:00,"",,
20,"01550-08163-000","P","Bolt","Pcs","",1,6000,0,"","heri","",2006-06-27 20:07:19.613000000,2006-08-13 00:00:00,"",,
21,"01550-08203-000","P","Bolt","Pcs","",1,0,0,"","heri","",2006-06-27 20:07:43.530000000,,"",,
22,"01550-08253-000","P","Bolt","Pcs","",1,6400,0,"","heri","",2006-06-27 20:08:20.833000000,2006-08-13 00:00:00,"",,
23,"01550-08353-000","P","Bolt","Pcs","",1,7500,0,"","heri","",2006-06-27 20:09:02.993000000,2006-08-13 00:00:00,"",,
24,"01550-10203-000","P","Bolt","Pcs","",1,8300,0,"","heri","",2006-06-27 20:09:34.300000000,2006-08-13 00:00:00,"",,
25,"01550B06253N000","P","Bolt Brake Lever Holder","Pcs","",1,1800,0,"","heri","",2006-06-27 20:10:25.803000000,2006-08-13 00:00:00,"",,
26,"01570-06203-000","P","Bolt","Pcs","",1,5300,0,"","heri","",2006-06-27 20:10:47.817000000,2006-08-13 00:00:00,"",,
27,"01570-08307-000","P","Bolt","Pcs","",1,8300,0,"","heri","",2006-06-27 20:11:23.497000000,2006-08-13 00:00:00,"",,
28,"02112-05086-000","P","Screw","Pcs","",1,3500,0,"","heri","",2006-06-27 20:12:00.080000000,2006-08-13 00:00:00,"",,
29,"02112-05103-000","P","Screw, M 5X0.8X10","Pcs","",1,3900,0,"","heri","",2006-06-27 20:12:55.080000000,2006-08-13 00:00:00,"",,
30,"02112-05163-000","P","Screw","Pcs","",1,3900,0,"","heri","",2006-06-27 20:13:25.310000000,2006-08-13 00:00:00,"",,
31,"02112-06103-000","P","Screw","Pcs","",1,3300,0,"","heri","",2006-06-27 20:13:47.433000000,2006-08-13 00:00:00,"",,
32,"02112-06163-000","P","Screw 6X16","Pcs","",1,4000,0,"","heri","",2006-06-27 20:14:13.450000000,2006-08-13 00:00:00,"",,
